Episode: 0, Total Reward: -0.8283778950572014, Total Length: 8.0 
Episode: 1, Total Reward: -0.9296951964497566, Total Length: 9.0 
Episode: 2, Total Reward: -0.9311735779047012, Total Length: 9.0 
Episode: 3, Total Reward: -0.932234026491642, Total Length: 9.0 
Episode: 4, Total Reward: -0.9310911744832993, Total Length: 9.0 
Episode: 5, Total Reward: -0.9313399344682693, Total Length: 9.0 
Episode: 6, Total Reward: -0.9325497448444366, Total Length: 9.0 
Episode: 7, Total Reward: -0.9310843124985695, Total Length: 9.0 
Episode: 8, Total Reward: -0.9312028735876083, Total Length: 9.0 
Episode: 9, Total Reward: -0.9314656406641006, Total Length: 9.0 
Episode: 10, Total Reward: -0.9316738545894623, Total Length: 9.0 
Episode: 11, Total Reward: -0.9310812056064606, Total Length: 9.0 
Episode: 12, Total Reward: -0.9311055466532707, Total Length: 9.0 
Episode: 13, Total Reward: -0.9311114475131035, Total Length: 9.0 
Episode: 14, Total Reward: -0.9309335872530937, Total Length: 9.0 
Episode: 15, Total Reward: -0.9286294654011726, Total Length: 9.0 
Episode: 16, Total Reward: -0.9283156096935272, Total Length: 9.0 
Episode: 17, Total Reward: -0.9289629235863686, Total Length: 9.0 
Episode: 18, Total Reward: -0.9301855862140656, Total Length: 9.0 
Episode: 19, Total Reward: -0.9306527823209763, Total Length: 9.0 
Episode: 20, Total Reward: -0.9312869384884834, Total Length: 9.0 
Episode: 21, Total Reward: -0.9313412234187126, Total Length: 9.0 
Episode: 22, Total Reward: -0.9312605038285255, Total Length: 9.0 
Episode: 23, Total Reward: -0.9304546937346458, Total Length: 9.0 
Episode: 24, Total Reward: -0.9317390844225883, Total Length: 9.0 
Episode: 25, Total Reward: -0.9316677898168564, Total Length: 9.0 
Episode: 26, Total Reward: -0.9313853681087494, Total Length: 9.0 
Episode: 27, Total Reward: -0.9316421821713448, Total Length: 9.0 
Episode: 28, Total Reward: -0.9318779781460762, Total Length: 9.0 
Episode: 29, Total Reward: -0.9328679144382477, Total Length: 9.0 
Episode: 30, Total Reward: -0.9319600835442543, Total Length: 9.0 
Episode: 31, Total Reward: -0.9305727407336235, Total Length: 9.0 
Episode: 32, Total Reward: -0.9307149425148964, Total Length: 9.0 
Episode: 33, Total Reward: -0.9306375980377197, Total Length: 9.0 
Episode: 34, Total Reward: -0.9301652014255524, Total Length: 9.0 
Episode: 35, Total Reward: -0.9307385161519051, Total Length: 9.0 
Episode: 36, Total Reward: -0.931071825325489, Total Length: 9.0 
Episode: 37, Total Reward: -0.9314529001712799, Total Length: 9.0 
Episode: 38, Total Reward: -0.9319317638874054, Total Length: 9.0 
Episode: 39, Total Reward: -0.9311177730560303, Total Length: 9.0 
Episode: 40, Total Reward: -0.9312405437231064, Total Length: 9.0 
Episode: 41, Total Reward: -0.9311655610799789, Total Length: 9.0 
Episode: 42, Total Reward: -0.9310747161507607, Total Length: 9.0 
Episode: 43, Total Reward: -0.9332637414336205, Total Length: 9.0 
Episode: 44, Total Reward: -0.9310189411044121, Total Length: 9.0 
Episode: 45, Total Reward: -0.9758706986904144, Total Length: 9.0 
Episode: 46, Total Reward: -0.9250404760241508, Total Length: 9.0 
Episode: 47, Total Reward: -0.9254463613033295, Total Length: 9.0 
